provID,GRADE,SEX,GETHNCC1,OMARKSA1,DVTY1ST,DVSELF,BMI
59,7,2,1,3,3,5,99
59,6,1,1,2,3,8,24.19
59,7,1,1,4,3,6,99
59,6,2,1,2,3,11,15.11
59,7,1,1,2,3,10,20.78
59,6,1,1,2,3,8,99
59,7,1,1,99,3,3,99
59,7,2,1,1,3,11,16.39
59,6,1,1,3,3,7,17.6
59,6,1,1,2,3,9,17.53
59,6,1,1,1,3,12,17.58
59,6,2,1,2,3,11,99
59,6,2,1,1,3,8,99
59,6,1,1,2,3,12,22.5
59,6,2,1,1,3,12,18.55
59,6,2,1,3,3,3,99
59,6,1,1,2,3,99,99
59,6,2,1,2,3,10,17.31
59,6,2,1,2,3,12,99
59,6,1,1,1,3,9,99
59,6,1,1,1,3,10,99
59,6,1,1,3,3,11,99
59,6,1,1,2,3,7,15.62
59,7,1,1,1,3,12,17.92
59,7,1,1,2,3,9,99
59,7,1,1,1,3,11,17.38
59,6,1,1,1,3,12,18.78
59,7,2,1,2,3,10,22.72
59,6,2,1,1,3,9,14.63
59,7,2,1,1,3,7,18.29
59,7,2,1,2,3,10,16.21
59,7,1,1,4,3,6,99
59,7,2,1,2,3,11,16.16
59,7,2,1,2,3,10,18.29
59,7,1,1,2,3,7,17.44
59,7,1,1,1,3,7,17.38
59,6,2,1,2,3,11,24.04
59,6,1,1,3,3,6,99
59,6,2,1,3,3,10,99
59,6,1,1,2,3,9,20.74
59,6,2,1,2,3,4,99
59,7,1,1,3,3,10,17.56
59,6,2,1,1,3,8,99
59,7,2,1,2,3,10,99
59,7,1,1,2,3,8,99
59,6,1,1,1,3,11,99
59,7,2,1,3,3,11,99
35,6,2,1,2,3,12,15.1
35,6,1,1,2,3,8,99
35,6,2,1,1,3,10,99
35,6,2,1,2,3,11,99
35,6,1,1,1,3,8,99
35,6,1,1,2,3,8,16.05
35,6,2,1,1,3,10,17.14
35,6,1,1,2,3,11,99
35,6,2,1,2,3,10,16.48
35,6,2,1,1,3,8,17.97
35,6,1,1,2,3,6,99
35,6,2,1,3,3,8,99
35,6,1,1,1,3,10,99
35,6,2,1,3,3,11,99
35,6,2,1,4,3,9,13.19
35,6,1,1,2,3,8,99
35,6,1,1,1,3,11,99
35,6,1,1,2,3,11,99
35,6,1,1,3,3,9,99
35,6,1,1,2,3,10,99
35,6,1,1,2,3,6,14.65
35,6,1,1,2,3,9,99
35,6,1,1,2,3,11,17.36
35,6,2,1,2,3,9,99
35,6,1,1,2,3,5,99
35,6,2,1,2,3,11,17.95
35,6,1,1,2,3,12,15.8
35,6,1,1,2,3,8,18.66
35,6,2,1,2,3,10,99
35,6,1,1,2,3,12,99
35,6,2,1,2,3,9,13.89
35,6,2,1,1,3,11,99
35,6,2,1,4,3,6,99
35,6,1,1,1,3,10,15.97
35,6,2,1,1,3,9,19.2
